Orthogroup	DMKU3.1042	W29	s288c
OG0000772	W0T4T9	A0A1D8NIJ9	P22336
OG0000773	W0TCH4	A0A1D8NPT8	P47018
OG0000774	W0TAN3	A0A1H6PPA4	P18759
OG0000775	W0T7Q1	A0A1D8NKZ5	Q08199
OG0000776	W0T563	A0A1D8NEW2	P36056
OG0000777	W0T7I5	A0A1D8NQP0	P33201
OG0000778	W0TAJ4	A0A1D8N7M9	P27825
OG0000779	W0TCW2	A0A1D8NPM2	Q12358
OG0000780	W0T4F1	A0A1D8N7S8	P19358
OG0000781	W0TAK3	A0A1H6PWM0	P33412
OG0000782	W0TGU7	A0A1D8N527	P47017
OG0000783	W0TC06	A0A1H6PVC8	P43636
OG0000784	W0TE53	A0A1D8NP60	P40541
OG0000785	W0T7L9	A0A1D8N924	P32784
OG0000786	W0TBX1	A0A1H6Q759	P19262
OG0000787	W0TAN1	A0A1D8NNS7	Q04632
OG0000788	W0TEP8	A0A1D8NNJ3	Q08968
OG0000789	W0T9V9	A0A1H6PN81	P35056
OG0000790	W0TD67	A0A1D8NJL1	Q12520
OG0000791	W0TFN4	A0A1D8NKN0	P53961
OG0000792	W0T668	A0A1H6PWF0	P25343
OG0000793	W0T983	A0A1D8NJV3	Q12152
OG0000794	W0T6C3	A0A1D8NIR7	P41733
OG0000795	W0T8U3	A0A1H6QCA4	P14736
OG0000796	W0THS3	A0A1H6PTR1	P38088
OG0000797	W0T734	A0A1D8NGD3	P22579
OG0000798	W0T6M2	A0A1D8NNV8	P20049
OG0000799	W0TBL3	A0A1D8NKT7	P35192
OG0000800	W0TGX1	A0A1H6PHP6	P50082
OG0000801	W0TC79	A0A1D8N7Y2	P09798
OG0000802	W0TG56	A0A1D8N907	P53261
OG0000803	W0TGG0	A0A1H6Q3V5	P53971
OG0000804	W0TGD7	A0A1D8N5M8	Q06506
OG0000805	W0TG67	A0A1D8NMT5	P32570
OG0000806	W0TF38	A0A1D8NQ28	P38067
OG0000807	W0T9Q7	A0A1D8NGJ8	P38903
OG0000809	W0TEK3	A0A1D8NEB3	Q12018
OG0000810	W0TE90	A0A1D8NK66	Q12383
OG0000811	W0T7M9	A0A1D8N660	Q04336
OG0000812	W0T5Z6	A0A1D8NKY0	Q08202
OG0000813	W0TBD0	A0A1D8N3I3	P36526
OG0000814	W0TC30	A0A1D8N6K1	P35724
OG0000815	W0TEJ0	A0A1D8NA18	Q06833
OG0000816	W0TJ55	A0A1H6PYR8	P38121
OG0000817	W0TB88	A0A1D8NLQ2	P38227
OG0000818	W0TDV7	A0A1D8NPC9	Q12063
OG0000819	W0TH06	A0A1D8NPJ7	P25451
OG0000821	W0TC96	A0A1H6Q4N9	Q04370
OG0000822	W0T3V4	A0A1H6Q286	P23833
OG0000823	W0TG20	A0A1D8NCL1	P42842
OG0000824	W0TD73	A0A1D8NGH6	Q12502
OG0000825	W0T6A0	A0A1D8NIB7	P46962
OG0000826	W0TCS1	A0A1D8NDD1	P49435
OG0000827	W0T742	A0A1D8NGQ0	Q99216
OG0000828	W0TFK5	A0A1H6PNH8	P38689
OG0000829	W0T4X2	A0A1D8NJD0	Q02724
OG0000830	W0TGA1	A0A1D8N938	Q6Q547
OG0000831	W0TCM9	A0A1D8NJ01	P06101
OG0000832	W0TAS0	A0A1D8NNN4	P39724
OG0000833	W0TB23	A0A1D8NEX3	Q01939
OG0000834	W0TF68	A0A1D8NQR8	Q12031
OG0000835	W0TB56	A0A1D8NPP3	P25655
OG0000836	W0T8R5	A0A1D8N385	P47037
OG0000837	W0TDD8	A0A1H6PKI6	P53254
OG0000838	W0TFG1	A0A1D8NIM8	Q06213
OG0000839	W0T8H8	A0A1D8NH44	P33418
OG0000841	W0TKL8	A0A1D8NFY4	P21801
OG0000842	W0TC23	A0A1H6PPL9	Q04660
OG0000843	W0T6T7	A0A1H6PIE1	P47083
OG0000844	W0TBB8	A0A1D8N8N9	Q05933
OG0000845	W0TBF1	A0A1H6PSF7	P14743
OG0000846	W0T5F9	A0A1D8NH63	P38707
OG0000847	W0T5Y6	A0A1D8NCZ8	Q06096
OG0000848	W0TBG7	A0A1D8NCH3	P22516
OG0000849	W0TC86	A0A1H6PVP1	P48365
OG0000850	W0TGJ3	A0A1D8NPC5	Q03942
OG0000851	W0T805	A0A1H6PWY7	P36150
OG0000852	W0TCK1	A0A1H6PQ59	P38849
OG0000853	W0T827	A0A1H6PQ19	P15624
OG0000854	W0T6G9	A0A1H6PM24	Q12306
OG0000855	W0T5W8	A0A1D8NQM5	P38116
OG0000856	W0TBU7	A0A1D8NDV6	P00044
OG0000857	W0TCT8	A0A1D8N6R9	P30902
OG0000858	W0T910	A0A1D8NA95	P36149
OG0000859	W0TGZ5	A0A1H6PZ85	P00899
OG0000860	W0T809	A0A1D8NKG0	P34756
OG0000861	W0TH73	A0A1H6Q5W9	P36078
OG0000862	W0T4J0	A0A1H6PV56	P53312
OG0000863	W0TAL7	A0A1D8N5N9	Q02959
OG0000864	W0TGS8	A0A1H6PSA7	P28791
OG0000865	W0T6D4	A0A1D8NQD0	Q02821
OG0000866	W0TH14	A0A1D8NLP8	P39923
OG0000867	W0TEH8	A0A1D8NED1	Q04746
OG0000868	W0THM4	A0A1H6PZX7	P31115
OG0000869	W0T5G7	A0A1D8NC90	P53200
OG0000870	W0T554	A0A1H6Q7K1	P17890
OG0000871	W0TBG4	A0A1D8N480	P39012
OG0000872	W0T914	A0A1D8NKV8	Q05946
OG0000873	W0TG99	A0A1D8NPR4	Q07560
OG0000874	W0TGX6	A0A1D8NMW1	P32904
OG0000875	W0TIU1	A0A1D8NKR8	P32842
OG0000876	W0T4Q9	A0A1D8N543	P36162
OG0000877	W0TBW7	A0A1D8N6F2	P11986
OG0000878	W0TEB5	A0A1H6PLI3	P38166
OG0000879	W0TC26	A0A1H6QCI6	P32494
OG0000880	W0T9U4	A0A1H6PQD9	P38998
OG0000881	W0TF51	A0A1H6PTB9	P40078
OG0000882	W0T7X4	A0A1D8NN58	Q03529
OG0000883	W0TDG1	A0A1D8NBR7	Q12267
OG0000884	W0TBM7	A0A1D8N6B8	P19812
OG0000885	W0TH59	A0A1D8NCU7	P33759
OG0000886	W0T962	Q70MH4	P47124
OG0000887	W0TG16	A0A1D8N8A7	Q08278
OG0000888	W0T6P0	A0A1D8NEL9	P32558
OG0000889	W0TJT7	A0A1H6Q0A8	P53114
OG0000890	W0T4L3	A0A1D8N4G3	Q07478
OG0000891	W0T976	A0A1D8NCM2	P32610
OG0000892	W0T825	A0A1D8NFC2	P48606
OG0000893	W0TF28	A0A1D8NF73	P36166
OG0000894	W0T9J1	A0A1D8NAR6	P19658
OG0000895	W0T720	A0A1D8NBQ2	Q12155
OG0000896	W0T510	A0A1D8N7Q8	P22134
OG0000897	W0TEF0	A0A1H6Q7W8	P23293
OG0000898	W0TFY4	A0A1D8NNK5	P47130
OG0000899	W0TEN1	Q6H9R9	P38688
OG0000900	W0TFX8	A0A1D8N832	P38799
OG0000901	W0TI78	A0A1D8NFX5	P53942
OG0000903	W0TAL5	A0A1D8NNL3	Q07622
OG0000904	W0T9R9	A0A1H6PJK2	P00498
OG0000905	W0TA20	A0A1H6PNE6	Q03630
OG0000906	W0TIP4	A0A1D8N873	Q08273
OG0000907	W0T8J5	A0A1D8NE60	Q07896
OG0000908	W0TFL0	A0A1D8N9D4	P25037
OG0000909	W0TBT7	A0A1D8N562	P40351
OG0000910	W0TDS9	A0A1D8NQJ4	Q05775
OG0000911	W0TE70	A0A1D8NKK0	Q08952
OG0000912	W0TCT9	A0A1D8N574	P40164
OG0000913	W0TBK9	A0A1D8NLN4	P40327
OG0000914	W0T7S0	A0A1D8NEG9	Q02792
OG0000915	W0T6K3	A0A1D8NML2	Q12015
OG0000916	W0TF67	A0A1D8NCY5	P21657
OG0000917	W0T771	A0A1D8N810	P38625
OG0000918	W0TCI9	A0A1D8N9G7	Q03761
OG0000919	W0TJ61	A0A1D8N5A6	P38199
OG0000920	W0T878	A0A1D8N650	Q12184
OG0000921	W0T8P1	A0A1D8NPD9	P07244
OG0000922	W0TCR8	A0A1D8NMF8	P21242
OG0000923	W0T7S7	A0A1D8NEM8	P09880
OG0000924	W0TG38	A0A1H6PJB6	Q12257
OG0000925	W0TDT8	A0A1H6PIA2	P53930
OG0000926	W0TFU0	A0A1H6PLS1	P32771
OG0000927	W0T390	A0A1D8NC79	P34111
OG0000928	W0T2P3	A0A1D8NB18	P25368
OG0000929	W0T9C9	A0A1D8N8Z2	P40165
OG0000930	W0T9Q6	A0A1D8NGZ3	Q12308
OG0000931	W0T540	A0A1D8NK64	P38318
OG0000932	W0T7V6	A0A1D8N6Y4	Q07895
OG0000933	W0T8M1	A0A1H6PUZ5	Q08726
OG0000934	W0TCE5	A0A1D8NHY7	Q03631
OG0000935	W0TFJ2	A0A1D8N8A6	P36095
OG0000936	W0T8W6	A0A1D8NHW6	P19516
OG0000937	W0T513	A0A1D8N831	P53091
OG0000938	W0TFZ1	A0A1H6Q4Z5	Q99383
OG0000939	W0TGI0	A0A1D8NQJ8	P40483
OG0000940	W0T9P1	A0A1D8NI49	Q04659
OG0000941	W0T6Z9	A0A1H6PX78	P53883
OG0000942	W0TBI5	A0A1D8NKW9	Q12347
OG0000943	W0T511	A0A1D8NLR6	Q12692
OG0000944	W0TES2	A0A1H6PYP9	Q08760
OG0000945	W0T7I0	A0A1H6Q5D5	P32353
OG0000946	W0T8H6	A0A1D8NIS4	P38992
OG0000947	W0T6U5	A0A1D8NDL6	Q07930
OG0000948	W0TF07	A0A1H6PV83	P38793
OG0000949	W0TA80	A0A1D8NI33	Q99312
OG0000950	W0T8K2	A0A1D8NDH8	P46948
OG0000951	W0T9G2	A0A1H6QCP7	P53128
OG0000952	W0T9P0	A0A1D8NKZ4	P31386
OG0000953	W0TCG4	A0A1D8N3R0	Q3E7B2
OG0000954	W0TI17	A0A1D8NCA0	O94742
OG0000955	W0T7T3	A0A1D8NKE2	Q03796
OG0000956	W0T9Q1	A0A1D8N7X3	P39521
OG0000957	W0T459	A0A1D8N8I3	Q08225
OG0000958	W0TDR7	A0A1D8NCH4	P28007
OG0000959	W0TF40	A0A1H6PTA8	P41807
OG0000960	W0T6X7	A0A1H6Q1P0	P29468
OG0000961	W0T5D7	A0A1D8NCJ6	P29465
OG0000962	W0TDK3	A0A1D8NJZ9	P32485
OG0000963	W0TBJ2	A0A1D8NCH1	P47026
OG0000964	W0T3B9	A0A1H6QB89	P40959
OG0000965	W0TEJ2	A0A1D8NN46	P25694
OG0000966	W0T9M7	A0A1H6PNJ8	P08431
OG0000967	W0T785	A0A1D8NBM2	P38820
OG0000968	W0TFR7	A0A1D8NED8	P43558
OG0000969	W0T497	A0A1D8NBJ6	P25583
OG0000970	W0T8M3	A0A1D8NI98	P33755
OG0000971	W0TF29	A0A1D8NG62	P17157
OG0000972	W0T630	A0A1D8N9E0	Q06698
OG0000973	W0TEN6	A0A1H6PXC1	P53859
OG0000974	W0TCH2	A0A1D8NM90	P38149
OG0000976	W0TC49	A0A1D8NNJ2	Q02354
OG0000977	W0T4A0	A0A1D8NJ76	Q12012
OG0000978	W0T5N0	A0A1H6Q228	P39990
OG0000979	W0TAJ2	A0A1H6PKE5	P54787
OG0000980	W0T6Q8	A0A1D8NHQ3	P25299
OG0000981	W0TFZ2	A0A1D8NPK1	P40011
OG0000982	W0TE92	A0A1D8NAK0	Q03079
OG0000983	W0TFV2	A0A1D8NBU3	Q07379
OG0000984	W0TA32	A0A1D8N456	P06776
OG0000985	W0TD14	A0A1H6Q2T9	P06774
OG0000986	W0TAG0	A0A1D8NPP5	P16120
OG0000987	W0T2Y7	A0A1H6PRP1	P16522
OG0000988	W0TJ73	A0A1D8NNN5	P18412
OG0000989	W0T6S3	A0A1H6PMJ2	Q00362
OG0000990	W0T9T0	A0A1H6PWB9	P08566
OG0000991	W0T7M0	A0A1D8N912	P07342
OG0000992	W0T5C3	A0A1D8NB85	P39081
OG0000993	W0THP8	A0A1H6PKC0	Q12425
OG0000994	W0TIY0	A0A1H6PWT8	P54783
OG0000995	W0TAN7	A0A1H6Q0C6	Q04792
OG0000996	W0TI19	A0A1D8N7X9	Q04344
OG0000997	W0T3U2	A0A1D8NF59	Q06321
OG0000998	W0T5Z5	A0A1D8NFJ7	P32913
OG0000999	W0T804	A0A1H6PY74	P36060
OG0001000	W0TGM8	A0A1D8NJC7	P38794
OG0001001	W0TAE4	A0A1H6PV82	Q04089
OG0001002	W0T7M3	A0A1D8NJ75	Q99278
OG0001003	W0T7B0	A0A1D8NDI1	P53299
OG0001004	W0TFE0	A0A1H6PSY7	P53920
OG0001005	W0T7H5	A0A1H6PI87	P41546
OG0001006	W0TD56	A0A1D8NLN5	P21734
OG0001007	W0T7I1	A0A1H6QAL0	P38749
OG0001008	W0T394	A0A1D8NBP5	P53197
OG0001009	W0T7D6	A0A1D8NPM3	P53273
OG0001010	W0TE96	A0A1D8N946	Q12220
OG0001011	W0TAK7	A0A1D8NQI3	P47082
OG0001012	W0T964	A0A1H6PMB9	P30665
OG0001013	W0T5V1	A0A1D8N517	P53552
OG0001015	W0T8K0	A0A1D8NIX2	P41921
OG0001016	W0T4W9	A0A1H6PXM3	Q03266
OG0001017	W0TH16	A0A1D8NPW7	Q3E840
OG0001018	W0TFD6	A0A1D8NAZ7	P53550
OG0001019	W0TG07	A0A1D8NIQ9	P40345
OG0001020	W0T443	A0A1D8NQP2	P18562
OG0001021	W0TBZ2	A0A1D8NH54	Q12530
OG0001022	W0T8B6	A0A1D8NJ91	P21182
OG0001023	W0TF10	A0A1D8NDG2	P23724
OG0001024	W0TF84	A0A1H6Q1E3	P31412
OG0001025	W0TCW7	A0A1D8NI92	Q04728
OG0001026	W0TFI5	A0A1D8N760	Q07915
OG0001027	W0T941	A0A1H6PTA5	Q02206
OG0001028	W0TCW5	A0A1H6PPB2	P41812
OG0001029	W0TDA2	A0A1H6PS17	P29952
OG0001030	W0T8T3	A0A1D8N987	P25364
OG0001031	W0T6N2	A0A1D8NM04	Q06350
OG0001032	W0TGH4	A0A1H6Q4C1	P19263
OG0001033	W0TFR1	A0A1D8NER4	Q12176
OG0001034	W0TCF9	A0A1D8N3F5	P40368
OG0001035	W0T8L0	A0A1D8NKF8	P48527
OG0001036	W0TG52	A0A1D8NFS8	P53038
OG0001037	W0TH08	A0A1D8NGH0	Q12331
OG0001038	W0T7G9	A0A1D8NBT9	P23638
OG0001039	W0T8R9	A0A1D8NNK3	P53093
OG0001040	W0TDT2	A0A1D8NMM4	P00549
OG0001041	W0T4N4	A0A1D8N3H9	P08067
OG0001042	W0TAP1	A0A1D8N6B7	Q06822
OG0001043	W0TC94	A0A1D8N558	P89886
OG0001044	W0TED7	A0A1H6PW02	Q99296
OG0001045	W0T9H8	A0A1D8NCE5	P42935
OG0001046	W0T6H4	A0A1D8NH55	Q12417
OG0001047	W0T7G2	A0A1D8NMI1	P38203
OG0001048	W0T972	A0A1H6Q6S4	P47120
OG0001049	W0TD97	A0A1D8NQA5	Q04773
OG0001050	W0TG44	A0A1H6Q7Z7	P32838
OG0001051	W0T8D1	A0A1D8NI16	P14242
OG0001052	W0T6W3	A0A1D8NN39	P12945
OG0001053	W0TDL6	A0A1D8NEI6	Q12367
OG0001054	W0T4V9	A0A1D8NHF4	P53320
OG0001055	W0TGQ2	A0A1D8NB81	P11433
OG0001056	W0T321	A0A1D8N694	P36147
OG0001057	W0T6P4	A0A1D8N9W5	P53129
OG0001058	W0T873	A0A1D8NJI1	P26321
OG0001059	W0TF49	A0A1D8N7I1	Q12387
OG0001060	W0T6L7	A0A1D8N5E3	Q02873
OG0001061	W0TA38	A0A1H6PMB5	P04039
OG0001062	W0TD13	A0A1D8NNE0	Q99210
OG0001063	W0TKC4	A0A1D8NAA0	Q06815
OG0001064	W0TCY1	A0A1D8N6J9	Q04033
OG0001065	W0TC01	A0A1D8NCQ5	Q06696
OG0001066	W0TD38	A0A1H6PHV9	P53915
OG0001067	W0T5N5	A0A1D8NBH1	Q02772
OG0001068	W0TI12	A0A1H6Q3B7	P40491
OG0001069	W0T6J9	A0A1H6PUZ4	P52488
OG0001070	W0TBH1	A0A1D8NHE9	P38205
OG0001071	W0TCD9	A0A1H6Q249	P07703
OG0001072	W0T3D1	A0A1D8NB90	P39112
OG0001073	W0TD21	A0A1D8NP22	P53925
OG0001074	W0TFV1	A0A1D8N3G3	P38629
OG0001076	W0TFU6	A0A1D8NHA8	Q12405
OG0001077	W0TGM9	A0A1D8NB96	P53935
OG0001078	W0T4R6	A0A1H6Q619	Q04689
OG0001079	W0TBF2	A0A1D8NAR0	P28004
OG0001081	W0TAL0	A0A1H6PNF8	P28789
